tweets,id,len,date,source,likes,retweets
b'Hear from @rcallimachi who covers ISIS for @nytimes and travels to war-torn countries to report from the frontlines\xe2\x80\xa6 https://t.co/hPuve8yAa2',1124329613247881216,140,2019-05-03 15:07:23,Twitter Web App,532,66
"b'In the face of adversity, @mariaressa, founder, CEO, and executive editor of @rapplerdotcom leads the charge to\xe2\x80\xa6 https://t.co/6jXdQVj8IK'",1124312801432997889,136,2019-05-03 14:00:35,Twitter Web App,1275,261
"b'To launch #HerStory on #WorldPressFreedomDay, we asked these women journalists about #pressfreedom\n\n\xf0\x9f\x94\xb9@mariaressa fr\xe2\x80\xa6 https://t.co/os2C6Ad3gy'",1124306674540601347,140,2019-05-03 13:36:14,Twitter Web App,99,46
"b""RT @ABCPolitics: LIVE NOW: Jared Kushner discusses the Trump administration's Middle East policy at the Washington Institute's 2019 Soref S\xe2\x80\xa6""",1124088318092824578,140,2019-05-02 23:08:34,Twitter for  iPhone,0,13
b'RT @thehill: Twitter launches #HerStory video series to highlight female journalists https://t.co/oqp67iO93i https://t.co/x5DyWxSjY7',1124064856724865024,132,2019-05-02 21:35:20,TweetDeck,0,17
"b'RT @Policy: ""What\'s happening?"" \n\nJournalists answer that question every day, from every part of the world, even if it takes them into harm\xe2\x80\xa6'",1124056311224778753,140,2019-05-02 21:01:23,TweetDeck,0,168
"b'To kick off #HerStory, we asked @mariaressa from @rapplerdotcom, @rcallimachi from @nytimes, @SylviaObell from\xe2\x80\xa6 https://t.co/KEwoiZzQfA'",1124040665283928066,135,2019-05-02 19:59:12,Twitter Web Client,127,55
b'#HerStory features women journalists with diverse backgrounds and focus areas. These women will talk about their li\xe2\x80\xa6 https://t.co/UPAjtmN8Us',1124040664398872578,140,2019-05-02 19:59:12,Twitter Web Client,31,8
b'Informing the world and holding the powerful to account is too important to be silenced or hindered. We know Twitte\xe2\x80\xa6 https://t.co/gPnKto4QCe',1124040663543185408,140,2019-05-02 19:59:12,Twitter Web Client,24,3
"b'We need to highlight this gender inequality as often as possible, but especially on #WorldPressFreedomDay, when so\xe2\x80\xa6 https://t.co/mqymCydFAq'",1124040662310166528,139,2019-05-02 19:59:12,Twitter Web Client,29,4
"b'Women journalists are essential to the storytelling landscape, and far too often face obstacles while doing their j\xe2\x80\xa6 https://t.co/JKAJgEcUO2'",1124040661613907968,140,2019-05-02 19:59:12,Twitter Web Client,41,9
"b'We\xe2\x80\x99re excited to announce the launch of #HerStory, Twitter\xe2\x80\x99s new, monthly original video series highlighting the wo\xe2\x80\xa6 https://t.co/lP5CPaLOi1'",1124040660649152512,140,2019-05-02 19:59:11,Twitter Web Client,1554,238
"b'RT @Refinery29: In honor of World Press Freedom Day on May 3, Twitter is spotlighting female voices in journalism around the world with the\xe2\x80\xa6'",1124024068611694592,140,2019-05-02 18:53:15,TweetDeck,0,89
b'RT @pressfreedom: \xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9cPress Freedom This Moment: #RememberingFallenJournalists\xe2\x80\x9d\n\nhttps://t.co/1CgT2iE0Ew',1123998036345094149,104,2019-05-02 17:09:49,TweetDeck,0,12
b'RT @NewsHour: WATCH LIVE: President Trump holds National Day of Prayer service at the White House https://t.co/h69k6VCA10',1123968050053644288,121,2019-05-02 15:10:40,TweetDeck,0,19
"b""RT @CBSThisMorning: \xe2\x9a\xa1\xef\xb8\x8f Colorado Sen. @MichaelBennet announces he's running for president in 2020. https://t.co/P7pfe6saTx\n\nhttps://t.co/FnR\xe2\x80\xa6""",1123952312270184448,140,2019-05-02 14:08:07,TweetDeck,0,10
"b'RT @cspan: House Judiciary Cmte hearing on Mueller Report, Attorney General William Barr will not testify \xe2\x80\x93 LIVE on C-SPAN3 https://t.co/5E\xe2\x80\xa6'",1123935454582267904,140,2019-05-02 13:01:08,Twitter for  iPhone,0,94
b'WATCH LIVE: Attorney General William Barr testifies about Mueller report https://t.co/cO66fCyvFx',1123587888946528256,96,2019-05-01 14:00:02,Twitter for  iPhone,6,4
b'RT @ABC: LIVE: Officials hold news conference on deadly shooting on the UNC Charlotte campus. https://t.co/FdXL1dhv4i',1123387748164022273,117,2019-05-01 00:44:45,Twitter for  iPhone,0,75
